s_fpssm0,s_fpssm1,s_fpssm2,s_fpssm3,s_fpssm4,s_fpssm5,s_fpssm6,s_fpssm7,s_fpssm8,s_fpssm9,s_fpssm10,s_fpssm11,s_fpssm12,s_fpssm13,s_fpssm14,s_fpssm15,s_fpssm16,s_fpssm17,s_fpssm18,s_fpssm19,s_fpssm20,s_fpssm21,s_fpssm22,s_fpssm23,s_fpssm24,s_fpssm25,s_fpssm26,s_fpssm27,s_fpssm28,s_fpssm29,s_fpssm30,s_fpssm31,s_fpssm32,s_fpssm33,s_fpssm34,s_fpssm35,s_fpssm36,s_fpssm37,s_fpssm38,s_fpssm39,s_fpssm40,s_fpssm41,s_fpssm42,s_fpssm43,s_fpssm44,s_fpssm45,s_fpssm46,s_fpssm47,s_fpssm48,s_fpssm49,s_fpssm50,s_fpssm51,s_fpssm52,s_fpssm53,s_fpssm54,s_fpssm55,s_fpssm56,s_fpssm57,s_fpssm58,s_fpssm59,s_fpssm60,s_fpssm61,s_fpssm62,s_fpssm63,s_fpssm64,s_fpssm65,s_fpssm66,s_fpssm67,s_fpssm68,s_fpssm69,s_fpssm70,s_fpssm71,s_fpssm72,s_fpssm73,s_fpssm74,s_fpssm75,s_fpssm76,s_fpssm77,s_fpssm78,s_fpssm79,s_fpssm80,s_fpssm81,s_fpssm82,s_fpssm83,s_fpssm84,s_fpssm85,s_fpssm86,s_fpssm87,s_fpssm88,s_fpssm89,s_fpssm90,s_fpssm91,s_fpssm92,s_fpssm93,s_fpssm94,s_fpssm95,s_fpssm96,s_fpssm97,s_fpssm98,s_fpssm99,s_fpssm100,s_fpssm101,s_fpssm102,s_fpssm103,s_fpssm104,s_fpssm105,s_fpssm106,s_fpssm107,s_fpssm108,s_fpssm109,s_fpssm110,s_fpssm111,s_fpssm112,s_fpssm113,s_fpssm114,s_fpssm115,s_fpssm116,s_fpssm117,s_fpssm118,s_fpssm119,s_fpssm120,s_fpssm121,s_fpssm122,s_fpssm123,s_fpssm124,s_fpssm125,s_fpssm126,s_fpssm127,s_fpssm128,s_fpssm129,s_fpssm130,s_fpssm131,s_fpssm132,s_fpssm133,s_fpssm134,s_fpssm135,s_fpssm136,s_fpssm137,s_fpssm138,s_fpssm139,s_fpssm140,s_fpssm141,s_fpssm142,s_fpssm143,s_fpssm144,s_fpssm145,s_fpssm146,s_fpssm147,s_fpssm148,s_fpssm149,s_fpssm150,s_fpssm151,s_fpssm152,s_fpssm153,s_fpssm154,s_fpssm155,s_fpssm156,s_fpssm157,s_fpssm158,s_fpssm159,s_fpssm160,s_fpssm161,s_fpssm162,s_fpssm163,s_fpssm164,s_fpssm165,s_fpssm166,s_fpssm167,s_fpssm168,s_fpssm169,s_fpssm170,s_fpssm171,s_fpssm172,s_fpssm173,s_fpssm174,s_fpssm175,s_fpssm176,s_fpssm177,s_fpssm178,s_fpssm179,s_fpssm180,s_fpssm181,s_fpssm182,s_fpssm183,s_fpssm184,s_fpssm185,s_fpssm186,s_fpssm187,s_fpssm188,s_fpssm189,s_fpssm190,s_fpssm191,s_fpssm192,s_fpssm193,s_fpssm194,s_fpssm195,s_fpssm196,s_fpssm197,s_fpssm198,s_fpssm199,s_fpssm200,s_fpssm201,s_fpssm202,s_fpssm203,s_fpssm204,s_fpssm205,s_fpssm206,s_fpssm207,s_fpssm208,s_fpssm209,s_fpssm210,s_fpssm211,s_fpssm212,s_fpssm213,s_fpssm214,s_fpssm215,s_fpssm216,s_fpssm217,s_fpssm218,s_fpssm219,s_fpssm220,s_fpssm221,s_fpssm222,s_fpssm223,s_fpssm224,s_fpssm225,s_fpssm226,s_fpssm227,s_fpssm228,s_fpssm229,s_fpssm230,s_fpssm231,s_fpssm232,s_fpssm233,s_fpssm234,s_fpssm235,s_fpssm236,s_fpssm237,s_fpssm238,s_fpssm239,s_fpssm240,s_fpssm241,s_fpssm242,s_fpssm243,s_fpssm244,s_fpssm245,s_fpssm246,s_fpssm247,s_fpssm248,s_fpssm249,s_fpssm250,s_fpssm251,s_fpssm252,s_fpssm253,s_fpssm254,s_fpssm255,s_fpssm256,s_fpssm257,s_fpssm258,s_fpssm259,s_fpssm260,s_fpssm261,s_fpssm262,s_fpssm263,s_fpssm264,s_fpssm265,s_fpssm266,s_fpssm267,s_fpssm268,s_fpssm269,s_fpssm270,s_fpssm271,s_fpssm272,s_fpssm273,s_fpssm274,s_fpssm275,s_fpssm276,s_fpssm277,s_fpssm278,s_fpssm279,s_fpssm280,s_fpssm281,s_fpssm282,s_fpssm283,s_fpssm284,s_fpssm285,s_fpssm286,s_fpssm287,s_fpssm288,s_fpssm289,s_fpssm290,s_fpssm291,s_fpssm292,s_fpssm293,s_fpssm294,s_fpssm295,s_fpssm296,s_fpssm297,s_fpssm298,s_fpssm299,s_fpssm300,s_fpssm301,s_fpssm302,s_fpssm303,s_fpssm304,s_fpssm305,s_fpssm306,s_fpssm307,s_fpssm308,s_fpssm309,s_fpssm310,s_fpssm311,s_fpssm312,s_fpssm313,s_fpssm314,s_fpssm315,s_fpssm316,s_fpssm317,s_fpssm318,s_fpssm319,s_fpssm320,s_fpssm321,s_fpssm322,s_fpssm323,s_fpssm324,s_fpssm325,s_fpssm326,s_fpssm327,s_fpssm328,s_fpssm329,s_fpssm330,s_fpssm331,s_fpssm332,s_fpssm333,s_fpssm334,s_fpssm335,s_fpssm336,s_fpssm337,s_fpssm338,s_fpssm339,s_fpssm340,s_fpssm341,s_fpssm342,s_fpssm343,s_fpssm344,s_fpssm345,s_fpssm346,s_fpssm347,s_fpssm348,s_fpssm349,s_fpssm350,s_fpssm351,s_fpssm352,s_fpssm353,s_fpssm354,s_fpssm355,s_fpssm356,s_fpssm357,s_fpssm358,s_fpssm359,s_fpssm360,s_fpssm361,s_fpssm362,s_fpssm363,s_fpssm364,s_fpssm365,s_fpssm366,s_fpssm367,s_fpssm368,s_fpssm369,s_fpssm370,s_fpssm371,s_fpssm372,s_fpssm373,s_fpssm374,s_fpssm375,s_fpssm376,s_fpssm377,s_fpssm378,s_fpssm379,s_fpssm380,s_fpssm381,s_fpssm382,s_fpssm383,s_fpssm384,s_fpssm385,s_fpssm386,s_fpssm387,s_fpssm388,s_fpssm389,s_fpssm390,s_fpssm391,s_fpssm392,s_fpssm393,s_fpssm394,s_fpssm395,s_fpssm396,s_fpssm397,s_fpssm398,s_fpssm399
54,16,6,10,24,7,22,22,20,1,0,15,13,7,18,13,9,30,15,3,13,85,3,4,7,10,8,13,16,2,10,33,11,5,14,4,10,15,2,4,5,9,22,9,4,5,1,2,15,0,0,7,4,5,7,4,4,20,9,1,5,4,9,75,5,3,18,4,11,3,2,3,5,0,11,4,3,11,1,6,9,3,4,0,23,1,0,5,8,6,3,0,5,2,4,3,7,7,3,14,3,20,6,3,6,35,11,5,17,2,0,12,5,4,7,2,2,15,11,3,0,9,10,38,6,8,54,4,11,0,0,5,3,2,8,0,2,14,3,0,27,10,19,22,28,3,5,116,14,3,3,4,7,3,8,12,7,11,2,3,10,4,3,3,6,2,5,8,25,4,5,2,2,0,1,3,2,10,7,3,0,0,0,0,8,1,0,0,2,32,10,0,14,7,5,0,5,6,2,27,4,17,2,6,31,7,11,7,25,47,93,8,76,49,18,2,9,62,34,45,9,32,5,9,3,11,21,6,18,1,1,42,4,1,3,1,1,11,3,4,4,4,0,0,4,1,5,2,5,7,20,4,39,20,14,1,5,14,8,7,2,4,1,1,2,0,0,0,5,4,4,0,7,27,1,0,3,22,20,2,7,10,0,11,1,5,9,4,13,7,1,11,2,11,57,0,1,15,13,6,14,9,4,5,17,1,15,25,15,2,0,4,9,3,14,37,19,24,9,6,3,16,10,5,19,11,11,0,20,10,9,15,10,11,5,7,34,20,16,13,1,3,0,0,1,2,1,1,3,0,0,1,2,5,0,0,0,2,6,0,0,1,0,0,5,0,3,2,14,0,2,1,10,22,0,0,0,20,23,0,18,7,4,5,31,3,12,3,13,73,33,4,31,15,14,3,26,33,20,98
70,18,14,6,34,4,3,15,16,21,12,8,21,13,10,31,20,24,19,21,1,65,4,4,8,22,3,0,25,2,1,32,7,3,6,7,7,10,7,1,1,18,38,5,15,7,2,1,32,0,0,7,6,4,2,19,11,19,8,0,0,2,19,40,5,7,23,1,2,0,0,1,1,0,14,11,1,8,0,0,1,3,2,0,33,1,0,0,6,15,9,2,12,9,4,3,5,10,2,12,0,9,2,1,4,18,1,0,13,4,3,3,5,8,6,2,3,4,4,3,0,15,12,12,11,16,34,6,20,0,1,7,5,1,13,10,5,9,2,0,2,3,9,4,28,4,1,56,7,0,0,3,5,1,8,10,3,13,3,0,0,10,11,0,1,9,1,0,28,0,0,3,1,0,2,5,2,3,5,0,8,1,0,0,21,2,5,2,3,126,47,1,36,30,11,2,10,8,8,88,4,4,3,3,33,5,0,0,3,57,117,0,69,57,5,5,6,17,12,42,2,35,5,3,8,10,8,2,11,1,0,35,8,2,6,11,5,18,7,0,0,5,0,0,4,0,0,0,2,13,12,0,21,2,0,3,3,5,1,10,1,5,4,2,21,1,2,0,20,17,36,1,22,80,1,2,4,31,52,11,2,8,2,2,7,5,1,0,7,4,0,8,5,5,63,6,6,8,7,0,34,15,30,10,44,11,10,10,28,11,6,10,19,20,14,111,42,33,16,19,8,12,10,1,30,4,3,6,10,19,13,7,15,6,4,29,61,32,10,12,0,0,0,0,5,0,0,0,9,3,5,0,4,18,0,0,0,18,11,1,0,3,1,0,9,2,0,0,7,1,0,3,2,21,2,1,0,12,21,2,16,4,2,4,40,2,1,3,10,67,36,0,25,31,9,7,12,14,8,76
29,8,15,8,14,12,7,20,15,10,9,11,14,11,14,28,10,29,13,12,0,58,12,7,19,13,9,5,31,1,1,25,16,6,7,3,4,34,14,0,1,13,72,28,21,13,7,5,42,1,0,10,16,11,7,20,25,33,13,0,1,8,31,60,20,15,28,1,16,0,1,10,10,3,7,6,5,17,7,0,4,2,3,1,36,1,1,0,8,5,1,2,12,7,3,6,4,17,7,2,3,16,15,23,12,56,30,0,22,3,3,21,16,1,9,4,10,16,12,1,1,19,24,36,25,24,70,3,43,1,0,13,16,6,20,14,3,38,15,0,11,15,26,14,21,10,3,94,17,7,5,9,16,9,4,15,4,35,6,4,0,6,16,10,6,11,5,0,47,1,0,9,6,6,3,0,1,11,17,0,3,6,2,2,30,8,2,1,20,73,32,3,42,60,5,4,10,44,40,47,1,16,4,2,42,5,7,2,27,67,108,10,81,66,9,3,9,75,45,46,0,52,11,9,4,11,23,0,10,1,2,59,8,3,11,6,6,18,7,2,0,1,3,2,13,4,2,0,6,13,14,3,44,18,7,2,4,14,9,10,5,5,6,2,23,3,2,1,19,16,26,1,36,73,5,4,5,44,46,8,3,12,10,6,22,10,3,0,27,4,3,9,17,11,121,12,13,23,15,3,7,15,42,11,31,14,16,12,29,6,2,9,23,8,18,69,28,36,20,3,2,4,18,9,27,8,11,1,14,7,5,9,15,14,10,34,68,27,13,5,0,2,0,3,17,2,3,0,14,6,3,0,6,19,1,4,0,42,35,2,0,7,6,2,16,3,2,0,52,6,3,2,24,49,6,1,3,52,89,3,4,9,3,2,27,2,2,0,15,27,14,7,31,30,7,3,13,20,19,32
47,58,8,44,6,103,77,19,5,2,15,108,17,12,523,20,1,5,7,4,0,188,6,10,5,97,19,8,12,0,5,141,12,0,240,9,4,3,4,1,1,11,51,23,0,17,12,15,7,4,1,13,11,1,54,10,10,6,5,0,2,17,14,165,7,37,66,35,16,4,1,33,19,3,147,19,4,16,5,0,0,2,0,1,40,3,1,16,1,6,1,1,5,3,9,4,1,7,4,1,3,39,7,20,11,121,26,8,21,2,3,54,12,2,148,14,6,8,4,4,2,21,6,89,10,67,156,30,10,1,3,29,5,4,193,18,7,10,10,0,2,4,5,9,15,10,10,1991,15,3,2,9,7,1,50,11,4,14,5,2,0,4,3,5,3,4,7,2,28,1,2,2,0,5,11,4,2,3,13,1,0,8,0,4,9,8,7,11,1,52,24,6,14,19,29,1,1,6,2,26,1,7,3,6,6,12,17,15,12,21,90,6,45,37,83,5,5,11,11,11,0,70,12,30,8,71,35,13,10,0,0,130,4,2,169,6,6,3,0,0,0,6,0,1,2,9,2,0,3,8,13,11,28,13,30,0,0,7,6,4,2,8,0,8,1,2,9,6,4,10,14,4,6,64,49,1,5,11,18,5,4,87,2,111,10,162,174,9,6,3,17,224,22,6,1437,3,12,4,6,3,11,21,8,31,13,41,31,31,15,2,1,43,3,9,175,46,14,7,6,0,4,44,6,11,16,33,12,12,0,4,12,43,10,7,111,24,56,5,5,11,0,4,0,0,0,0,0,0,2,3,1,0,4,2,1,0,2,17,11,0,2,2,1,0,6,2,1,6,6,3,1,1,3,17,19,1,2,9,42,4,2,14,0,4,23,19,18,15,8,40,17,19,18,11,108,5,7,7,6,57
144,13,17,13,67,17,22,27,13,17,15,9,14,6,47,49,23,30,10,24,3,263,38,19,23,64,44,9,60,1,5,92,10,11,30,22,33,34,18,4,9,14,220,65,19,22,27,33,64,2,1,34,8,3,26,46,35,15,15,7,2,17,97,214,18,26,68,23,41,2,2,19,15,9,49,28,9,15,25,2,2,2,5,1,32,1,1,0,4,10,0,0,6,7,6,1,5,21,10,8,0,42,14,19,15,91,43,9,44,2,3,30,10,2,17,17,10,11,10,2,4,46,61,133,18,119,283,10,51,4,2,63,15,6,47,44,24,24,17,8,26,11,63,41,32,13,14,326,39,1,0,10,6,3,39,51,13,16,11,3,2,21,35,19,4,34,23,4,130,1,0,15,2,16,31,19,9,7,30,3,4,10,9,2,18,6,8,1,14,250,60,5,37,30,11,1,12,23,10,135,4,24,13,12,60,12,22,10,42,147,386,22,163,105,27,12,21,67,65,86,6,85,51,26,18,63,40,14,59,3,4,140,23,4,18,33,14,19,6,2,1,18,5,6,14,16,21,0,3,21,40,12,74,17,4,6,15,11,3,17,2,18,6,6,23,10,13,1,44,20,36,3,27,166,9,8,7,38,144,16,5,25,27,23,29,21,21,8,24,7,6,19,12,6,280,23,17,24,5,8,39,20,80,62,29,34,55,24,39,3,6,23,16,4,52,255,111,39,15,9,17,32,35,24,37,22,18,9,32,19,5,20,25,10,29,81,191,19,13,20,0,9,3,1,6,1,0,1,9,2,0,2,3,20,7,0,0,21,26,4,1,14,6,0,14,5,7,0,61,9,3,3,12,93,24,9,9,66,127,7,1,10,12,5,42,5,8,3,27,168,63,14,61,24,30,14,34,28,25,248
375,66,7,36,45,27,11,86,24,32,61,8,30,28,125,82,66,67,14,104,20,301,8,16,6,35,9,9,39,4,7,28,3,0,42,14,20,49,8,6,7,14,61,31,3,14,5,21,8,1,2,2,0,0,15,16,18,15,1,1,7,18,28,173,0,10,32,18,10,0,1,1,4,3,38,10,14,19,4,2,8,0,0,3,17,0,0,1,0,0,1,0,2,2,0,3,3,0,0,4,14,25,13,21,0,84,25,9,16,0,5,10,6,2,19,10,14,12,5,3,6,14,7,37,0,23,58,7,11,4,1,1,6,4,11,4,12,5,4,9,93,41,10,34,13,14,11,404,22,8,14,4,5,10,45,38,37,39,8,17,5,20,0,4,0,5,6,0,27,3,0,0,1,1,5,4,6,11,11,5,26,14,0,2,6,7,5,3,8,113,76,2,45,24,21,5,16,26,6,111,59,36,3,5,28,5,1,19,12,115,359,0,133,79,37,7,43,106,21,146,7,28,4,15,0,4,10,1,11,1,4,24,1,4,21,10,10,20,1,5,2,2,0,2,1,0,2,0,0,15,29,0,38,10,6,1,4,16,1,18,13,6,4,4,2,2,4,3,8,22,35,1,22,125,13,6,14,62,57,36,39,16,5,45,1,7,11,22,11,0,5,2,7,1,299,14,16,15,2,8,65,33,14,41,11,16,11,32,15,1,0,3,5,5,48,122,82,18,7,6,70,31,17,24,9,22,18,39,16,13,20,3,21,15,25,69,167,38,10,43,4,6,0,3,0,2,3,2,6,3,13,0,6,22,10,2,3,30,17,5,3,12,3,8,0,9,5,8,14,2,4,0,3,58,5,7,4,47,99,10,62,30,8,12,17,13,11,17,22,120,107,4,72,28,49,8,38,54,14,241
73,6,21,13,64,10,7,20,13,4,3,10,5,7,34,34,25,20,18,7,0,117,38,11,33,37,15,10,36,2,4,41,2,9,21,15,19,14,27,6,1,7,79,25,8,9,8,13,27,0,0,6,1,1,12,26,15,4,7,0,6,11,28,72,36,21,30,16,17,0,0,11,3,0,36,22,6,2,2,0,1,1,0,3,14,0,1,4,2,4,3,1,4,14,2,4,4,15,6,4,2,29,10,15,10,48,23,12,13,1,9,18,8,1,20,10,7,12,9,1,2,21,31,45,39,46,124,19,43,2,0,22,7,2,34,20,12,23,10,1,4,6,18,13,43,7,3,165,20,1,1,8,6,2,16,11,4,20,4,2,1,14,15,3,2,7,5,0,32,1,2,4,0,5,3,9,8,9,13,0,0,9,2,0,6,1,5,4,2,61,16,7,13,9,9,0,6,8,10,44,4,9,7,4,26,16,10,5,22,39,104,2,23,50,12,4,15,30,25,48,1,36,19,14,23,33,25,11,15,1,5,47,2,6,20,13,8,2,9,3,4,3,0,1,8,1,4,0,2,6,8,3,16,1,2,6,2,1,3,7,1,7,7,1,24,1,2,0,9,13,14,2,9,64,6,6,9,24,42,12,3,8,11,9,27,10,13,10,12,1,0,6,2,1,102,13,12,8,4,0,7,15,33,26,38,11,6,11,24,1,1,5,2,12,25,71,35,11,13,1,5,9,17,10,60,11,9,6,11,1,1,7,5,5,23,37,75,3,4,4,0,1,1,1,0,1,2,2,1,0,0,0,0,10,3,1,0,6,18,1,0,8,5,2,3,5,1,1,25,7,2,3,7,43,3,3,9,21,56,7,19,6,7,9,46,12,14,0,6,50,5,7,17,10,14,6,26,18,10,102
16,0,1,3,1,2,5,11,0,0,0,1,0,2,2,6,0,0,0,1,1,11,1,0,1,5,0,3,4,0,0,6,0,0,0,2,0,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,3,0,0,0,0,0,1,2,12,2,1,0,16,4,0,1,0,0,6,0,2,2,2,1,0,0,0,2,4,1,17,2,9,14,5,0,0,0,4,0,0,5,2,0,0,0,0,1,0,1,5,3,3,2,17,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,4,0,0,2,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,17,6,1,6,10,5,1,0,4,1,10,6,0,0,0,4,0,2,2,0,25,56,0,31,7,6,1,0,5,0,17,1,11,1,4,0,4,3,4,1,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,4,0,2,0,0,4,0,0,18,2,2,0,0,0,0,2,4,1,0,3,3,1,2,0,0,2,0,0,4,2,3,0,0,0,2,1,3,1,0,4,5,0,2,0,0,1,0,0,10,5,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,2,0,0,0,1,14,2,0,1,5,9,0,1,3,0,0,2,0,0,1,1,13,6,2,2,4,0,2,0,2,1,14
86,10,19,5,36,12,17,9,12,14,6,15,20,5,7,31,9,8,12,17,3,53,6,6,8,11,8,1,18,3,5,33,7,2,4,3,2,5,11,5,0,1,12,15,3,4,3,1,10,0,0,0,2,0,0,3,3,2,0,0,4,1,19,87,5,4,23,3,2,0,1,1,4,2,1,4,2,9,4,0,12,1,0,7,22,0,0,2,2,0,0,0,3,1,0,6,8,7,1,1,2,5,2,13,1,30,18,0,16,0,0,9,5,0,3,4,1,2,4,0,5,14,12,24,6,20,53,3,13,2,2,16,3,2,12,2,1,6,2,2,14,5,14,7,10,2,2,95,9,0,1,4,1,0,12,9,3,5,4,1,6,10,9,1,2,9,2,1,23,0,0,2,4,5,3,2,1,0,6,0,0,3,1,1,6,3,1,0,3,49,16,2,19,3,3,0,2,0,3,21,15,4,2,4,16,3,8,0,7,57,92,1,46,27,1,2,6,20,10,43,2,20,10,14,0,10,16,4,6,0,0,28,1,0,0,4,0,4,1,0,1,4,1,5,0,1,6,0,5,9,17,0,39,6,1,1,2,2,2,6,0,0,2,0,4,1,1,0,11,11,4,0,11,41,2,0,2,10,19,5,3,8,2,9,4,5,13,6,7,7,3,7,0,9,106,2,5,0,2,3,7,10,22,14,13,5,8,8,14,1,0,1,0,1,8,56,21,2,0,0,7,5,8,0,0,1,8,1,12,1,1,3,4,2,6,6,30,1,0,3,0,6,1,0,0,1,0,0,5,1,2,4,1,1,0,0,0,2,4,0,1,4,3,0,4,6,0,0,15,1,3,0,5,31,6,1,0,12,54,0,7,6,4,1,18,10,2,4,6,58,16,1,31,9,6,2,9,21,5,62
169,19,9,0,45,6,4,50,11,51,27,10,30,33,24,48,37,23,4,49,2,80,10,2,2,13,4,4,16,4,2,38,5,0,6,7,1,11,0,9,4,2,34,6,9,4,3,3,6,1,2,1,3,8,3,3,4,3,0,1,2,3,17,43,2,8,12,0,7,0,2,1,1,4,5,12,5,3,2,1,1,3,0,0,19,0,1,2,2,6,5,0,2,13,0,5,4,17,9,6,2,27,15,10,1,39,14,4,17,0,1,30,5,3,17,7,4,5,4,0,1,6,9,18,0,18,52,1,6,1,4,12,3,2,13,8,1,2,1,0,47,8,7,1,19,3,1,183,8,8,10,3,8,10,20,28,7,47,8,8,1,6,17,5,0,8,7,6,36,0,1,5,1,2,3,11,5,17,9,0,7,2,0,0,19,0,0,4,0,104,49,0,42,31,2,2,8,20,11,72,22,12,4,1,44,5,1,14,14,156,231,8,135,142,15,8,19,106,23,107,2,16,4,0,0,9,4,1,6,0,0,23,0,0,4,4,2,2,1,0,2,0,0,0,8,1,2,0,3,29,28,0,31,23,3,1,5,15,8,15,3,4,2,1,11,3,0,1,6,32,52,2,38,121,9,2,4,54,51,18,2,10,3,3,1,10,8,6,10,2,0,9,3,5,131,12,12,14,4,2,62,11,23,18,30,11,14,42,12,9,10,14,9,16,20,116,47,16,12,18,26,6,4,2,5,1,4,9,6,25,17,1,14,18,13,22,59,23,8,24,1,3,0,0,2,0,0,0,5,5,4,1,8,18,5,0,0,27,12,4,4,5,1,2,5,2,2,4,6,1,1,1,11,34,3,2,3,35,44,3,18,2,8,2,9,2,6,0,7,101,48,3,50,39,5,8,19,46,17,132
